# Unicode 17.0 sequences supplementing the existing Twemoji catalog.
# Code points	PNG filename	Unicode name	Emoji version
263A FE0F	263a.png	smiling face	0.6
1F636 200D 1F32B	1f636-200d-1f32b-fe0f.png	face in clouds	13.1
1FAE8	1fae8.png	shaking face	15.0
1F642 200D 2194 FE0F	1f642-200d-2194-fe0f.png	head shaking horizontally	15.1
1F642 200D 2194	1f642-200d-2194-fe0f.png	head shaking horizontally	15.1
1F642 200D 2195 FE0F	1f642-200d-2195-fe0f.png	head shaking vertically	15.1
1F642 200D 2195	1f642-200d-2195-fe0f.png	head shaking vertically	15.1
1FAE9	1fae9.png	face with bags under eyes	16.0
2639 FE0F	2639.png	frowning face	0.7
1FAEA	1faea.png	distorted face	17.0
2620 FE0F	2620.png	skull and crossbones	1.0
2763 FE0F	2763.png	heart exclamation	1.0
2764 200D 1F525	2764-fe0f-200d-1f525.png	heart on fire	13.1
2764 200D 1FA79	2764-fe0f-200d-1fa79.png	mending heart	13.1
2764 FE0F	2764.png	red heart	0.6
1FA77	1fa77.png	pink heart	15.0
1FA75	1fa75.png	light blue heart	15.0
1FA76	1fa76.png	grey heart	15.0
1FAEF	1faef.png	fight cloud	17.0
1F573 FE0F	1f573.png	hole	0.7
1F441 FE0F 200D 1F5E8 FE0F	1f441-200d-1f5e8.png	eye in speech bubble	2.0
1F441 200D 1F5E8 FE0F	1f441-200d-1f5e8.png	eye in speech bubble	2.0
1F441 FE0F 200D 1F5E8	1f441-200d-1f5e8.png	eye in speech bubble	2.0
1F5E8 FE0F	1f5e8.png	left speech bubble	2.0
1F5EF FE0F	1f5ef.png	right anger bubble	0.7
1F590 FE0F	1f590.png	hand with fingers splayed	0.7
1FAF7	1faf7.png	leftwards pushing hand	15.0
1FAF7 1F3FB	1faf7-1f3fb.png	leftwards pushing hand: light skin tone	15.0
1FAF7 1F3FC	1faf7-1f3fc.png	leftwards pushing hand: medium-light skin tone	15.0
1FAF7 1F3FD	1faf7-1f3fd.png	leftwards pushing hand: medium skin tone	15.0
1FAF7 1F3FE	1faf7-1f3fe.png	leftwards pushing hand: medium-dark skin tone	15.0
1FAF7 1F3FF	1faf7-1f3ff.png	leftwards pushing hand: dark skin tone	15.0
1FAF8	1faf8.png	rightwards pushing hand	15.0
1FAF8 1F3FB	1faf8-1f3fb.png	rightwards pushing hand: light skin tone	15.0
1FAF8 1F3FC	1faf8-1f3fc.png	rightwards pushing hand: medium-light skin tone	15.0
1FAF8 1F3FD	1faf8-1f3fd.png	rightwards pushing hand: medium skin tone	15.0
1FAF8 1F3FE	1faf8-1f3fe.png	rightwards pushing hand: medium-dark skin tone	15.0
1FAF8 1F3FF	1faf8-1f3ff.png	rightwards pushing hand: dark skin tone	15.0
270C FE0F	270c.png	victory hand	0.6
261D FE0F	261d.png	index pointing up	0.6
270D FE0F	270d.png	writing hand	0.7
1F441 FE0F	1f441.png	eye	0.7
1F9D4 200D 2642	1f9d4-200d-2642-fe0f.png	man: beard	13.1
1F9D4 1F3FB 200D 2642	1f9d4-1f3fb-200d-2642-fe0f.png	man: light skin tone, beard	13.1
1F9D4 1F3FC 200D 2642	1f9d4-1f3fc-200d-2642-fe0f.png	man: medium-light skin tone, beard	13.1
1F9D4 1F3FD 200D 2642	1f9d4-1f3fd-200d-2642-fe0f.png	man: medium skin tone, beard	13.1
1F9D4 1F3FE 200D 2642	1f9d4-1f3fe-200d-2642-fe0f.png	man: medium-dark skin tone, beard	13.1
1F9D4 1F3FF 200D 2642	1f9d4-1f3ff-200d-2642-fe0f.png	man: dark skin tone, beard	13.1
1F9D4 200D 2640	1f9d4-200d-2640-fe0f.png	woman: beard	13.1
1F9D4 1F3FB 200D 2640	1f9d4-1f3fb-200d-2640-fe0f.png	woman: light skin tone, beard	13.1
1F9D4 1F3FC 200D 2640	1f9d4-1f3fc-200d-2640-fe0f.png	woman: medium-light skin tone, beard	13.1
1F9D4 1F3FD 200D 2640	1f9d4-1f3fd-200d-2640-fe0f.png	woman: medium skin tone, beard	13.1
1F9D4 1F3FE 200D 2640	1f9d4-1f3fe-200d-2640-fe0f.png	woman: medium-dark skin tone, beard	13.1
1F9D4 1F3FF 200D 2640	1f9d4-1f3ff-200d-2640-fe0f.png	woman: dark skin tone, beard	13.1
1F471 200D 2640	1f471-200d-2640-fe0f.png	woman: blond hair	4.0
1F471 1F3FB 200D 2640	1f471-1f3fb-200d-2640-fe0f.png	woman: light skin tone, blond hair	4.0
1F471 1F3FC 200D 2640	1f471-1f3fc-200d-2640-fe0f.png	woman: medium-light skin tone, blond hair	4.0
1F471 1F3FD 200D 2640	1f471-1f3fd-200d-2640-fe0f.png	woman: medium skin tone, blond hair	4.0
1F471 1F3FE 200D 2640	1f471-1f3fe-200d-2640-fe0f.png	woman: medium-dark skin tone, blond hair	4.0
1F471 1F3FF 200D 2640	1f471-1f3ff-200d-2640-fe0f.png	woman: dark skin tone, blond hair	4.0
1F471 200D 2642	1f471-200d-2642-fe0f.png	man: blond hair	4.0
1F471 1F3FB 200D 2642	1f471-1f3fb-200d-2642-fe0f.png	man: light skin tone, blond hair	4.0
1F471 1F3FC 200D 2642	1f471-1f3fc-200d-2642-fe0f.png	man: medium-light skin tone, blond hair	4.0
1F471 1F3FD 200D 2642	1f471-1f3fd-200d-2642-fe0f.png	man: medium skin tone, blond hair	4.0
1F471 1F3FE 200D 2642	1f471-1f3fe-200d-2642-fe0f.png	man: medium-dark skin tone, blond hair	4.0
1F471 1F3FF 200D 2642	1f471-1f3ff-200d-2642-fe0f.png	man: dark skin tone, blond hair	4.0
1F64D 200D 2642	1f64d-200d-2642-fe0f.png	man frowning	4.0
1F64D 1F3FB 200D 2642	1f64d-1f3fb-200d-2642-fe0f.png	man frowning: light skin tone	4.0
1F64D 1F3FC 200D 2642	1f64d-1f3fc-200d-2642-fe0f.png	man frowning: medium-light skin tone	4.0
1F64D 1F3FD 200D 2642	1f64d-1f3fd-200d-2642-fe0f.png	man frowning: medium skin tone	4.0
1F64D 1F3FE 200D 2642	1f64d-1f3fe-200d-2642-fe0f.png	man frowning: medium-dark skin tone	4.0
1F64D 1F3FF 200D 2642	1f64d-1f3ff-200d-2642-fe0f.png	man frowning: dark skin tone	4.0
1F64D 200D 2640	1f64d-200d-2640-fe0f.png	woman frowning	4.0
1F64D 1F3FB 200D 2640	1f64d-1f3fb-200d-2640-fe0f.png	woman frowning: light skin tone	4.0
1F64D 1F3FC 200D 2640	1f64d-1f3fc-200d-2640-fe0f.png	woman frowning: medium-light skin tone	4.0
1F64D 1F3FD 200D 2640	1f64d-1f3fd-200d-2640-fe0f.png	woman frowning: medium skin tone	4.0
1F64D 1F3FE 200D 2640	1f64d-1f3fe-200d-2640-fe0f.png	woman frowning: medium-dark skin tone	4.0
1F64D 1F3FF 200D 2640	1f64d-1f3ff-200d-2640-fe0f.png	woman frowning: dark skin tone	4.0
1F64E 200D 2642	1f64e-200d-2642-fe0f.png	man pouting	4.0
1F64E 1F3FB 200D 2642	1f64e-1f3fb-200d-2642-fe0f.png	man pouting: light skin tone	4.0
1F64E 1F3FC 200D 2642	1f64e-1f3fc-200d-2642-fe0f.png	man pouting: medium-light skin tone	4.0
